Frame,X,Y,Visibility,L,Theta,score
292,510,38,1,0.5,90.0,0.5507879853248596
293,0,0,0,-inf,-inf,0.26671501994132996
294,0,0,0,-inf,-inf,0.35003989934921265
295,882,63,1,2.0155311562120914,88.09296258282993,0.5155367255210876
296,881,65,1,3.0186003670096397,-87.5547989709319,0.6805068850517273
297,879,68,1,2.5,90.0,0.8559801578521729
298,879,69,1,2.474873900413513,-44.99999999935855,0.8800336122512817
299,879,72,1,0.5,90.0,0.8698015809059143
300,875,71,1,0.0,0.0,0.8620009422302246
301,878,72,1,0.7071067690849304,44.99999999667797,0.8108062744140625
302,881,78,1,3.1521207988262177,61.42252915225422,0.8696403503417969
303,883,76,1,3.292935222387314,-15.60607354185743,0.7782772779464722
304,884,75,1,3.5078627169132233,15.303203516534474,0.8823323249816895
305,0,0,0,-inf,-inf,0.31837403774261475
306,0,0,0,-inf,-inf,0.3948090672492981
307,540,86,1,2.0,90.0,0.5861237645149231
308,541,88,1,3.8064243644475937,24.786446111131678,0.8141274452209473
309,546,90,1,3.185981869697571,33.00497188706333,0.7945408225059509
310,550,90,1,2.5,0.0,0.7498644590377808
311,549,87,1,2.0344256684184074,-4.731161103964642,0.6247089505195618
312,551,91,1,3.458658754825592,39.89884895158762,0.8378582000732422
313,554,91,1,3.0421741902828217,20.50454345078511,0.8276164531707764
314,561,92,1,3.0687290132045746,22.097407513603113,0.6844379305839539
315,510,4,1,2.3447770923376083,-73.42650208370361,0.6265696287155151
316,0,0,0,-inf,-inf,0.2521401047706604
317,0,0,0,-inf,-inf,0.33967360854148865
318,508,7,1,0.0,0.0,0.41281479597091675
319,500,9,1,11.541240364313126,-18.3918630518794,0.9116724133491516
320,469,21,1,6.657976984977722,-24.2669354493706,0.6389404535293579
321,453,27,1,8.998153924942017,-22.824796041490654,0.8955479860305786
322,446,30,1,9.171970292925835,-27.150562699987994,0.8332271575927734
323,443,37,1,0.5,0.0,0.45102283358573914
324,450,30,1,2.7870074808597565,33.062359573086106,0.6028594970703125
325,430,40,1,2.8284270763397217,-44.99999999994523,0.6978381872177124
326,419,43,1,1.0,0.0,0.5089966058731079
327,400,56,1,2.891682952642441,66.3611955208343,0.7889764308929443
328,350,48,1,3.6307432986795902,-5.65348564939674,0.6456284523010254
329,381,47,1,3.5651703868061304,2.6311976998027595,0.5481233596801758
330,394,49,1,3.26713440567255,13.489179459456443,0.6109211444854736
331,390,46,1,4.863852769136429,34.31044264764715,0.752679705619812
332,378,38,1,9.830566108226776,35.00794271687209,0.8921520113945007
333,368,31,1,6.705904304981232,25.064763999548894,0.9271490573883057
334,364,28,1,4.2706010192632675,19.088831191296563,0.7958270907402039
335,0,0,0,-inf,-inf,0.23704113066196442
336,504,63,1,0.0,0.0,0.4010479748249054
337,356,22,1,4.319368958473206,32.97466523311408,0.8424524068832397
338,356,17,1,4.913118153810501,-20.078422564382723,0.9208430647850037
339,365,10,1,6.322852909564972,-19.7645333734016,0.774724543094635
340,369,9,1,4.123052507638931,-13.744805328083348,0.788549542427063
341,0,0,0,-inf,-inf,0.32939207553863525
342,375,8,1,0.5,90.0,0.43622887134552
343,381,4,1,3.5766894221305847,-40.944475889326064,0.5571321845054626
344,386,3,1,5.012542547658086,1.6853805898924434,0.7758208513259888
345,391,4,1,1.1067972034215927,-18.434948823030364,0.6172695755958557
346,0,0,0,-inf,-inf,0.7197617292404175
347,717,37,1,2.5428789630532265,82.82322859966696,0.7035507559776306
348,717,37,1,2.0344256684184074,-85.26883889598497,0.5461859107017517
349,719,39,1,3.535488098859787,44.70808187946425,0.847771406173706
350,597,99,1,2.042490467429161,-68.16610992726046,0.7350262403488159
351,410,4,1,3.352947637438774,28.068154715590865,0.8319053053855896
352,414,6,1,3.0038559269160032,-0.14766822697543322,0.8090828061103821
353,414,6,1,3.084441661834717,-31.173592491202996,0.8153432607650757
354,414,6,1,3.339367926120758,21.192663542749745,0.8457527756690979
355,417,8,1,4.469278991222382,28.613213435429426,0.8477616310119629
